index,id_distr_bank,year,newid,baseline_PSU,population_mean,population_sd,population_sum
0,204,2015,3185,473,1186.2416,319.47736,28469.799
1,203,2015,3185,472,1186.2416,319.47736,28469.799
2,206,2015,3186,475,6661.6807,1596.3282,33308.402
3,141,2015,3189,582,207.7398,389.77823,106570.52
4,140,2015,3191,567,48.604107,76.72902,58276.324
5,242,2015,3192,344,2813.9893,2235.0054,84419.68
6,241,2015,3193,341,2813.9893,2235.0054,84419.68
7,237,2015,3193,228,2813.9893,2235.0054,84419.68
8,238,2015,3193,249,2813.9893,2235.0054,84419.68
9,7,2015,3196,382,477.63663,496.54608,39643.84
10,5,2015,3196,380,477.63663,496.54608,39643.84
11,3,2015,3196,257,477.63663,496.54608,39643.84
12,6,2015,3204,381,348.98096,303.44855,65608.42
13,8,2015,3204,383,348.98096,303.44855,65608.42
14,2,2015,3204,253,348.98096,303.44855,65608.42
15,4,2015,3204,378,348.98096,303.44855,65608.42
16,58,2015,3209,312,940.8512,1292.0288,107257.04
17,57,2015,3209,311,940.8512,1292.0288,107257.04
18,62,2015,3211,316,940.8512,1292.0288,107257.04
19,61,2015,3211,315,940.8512,1292.0288,107257.04
20,59,2015,3211,313,940.8512,1292.0288,107257.04
21,60,2015,3211,314,940.8512,1292.0288,107257.04
22,71,2015,3210,507,1140.8854,1111.108,45635.414
23,112,2015,3219,159,1161.216,935.11365,51093.5
24,111,2015,3222,37,1161.216,935.11365,51093.5
25,114,2015,3220,161,2835.575,2570.5212,175805.64
26,115,2015,3221,163,1540.0377,1552.5643,170944.19
27,116,2015,3221,164,1540.0377,1552.5643,170944.19
28,113,2015,3224,160,571.26996,552.95557,30848.576
29,220,2015,3232,17,1232.2161,1839.5713,118292.74
30,221,2015,3232,56,1232.2161,1839.5713,118292.74
31,69,2015,3232,145,1232.2161,1839.5713,118292.74
32,223,2015,3232,121,1232.2161,1839.5713,118292.74
33,222,2015,3232,57,1232.2161,1839.5713,118292.74
34,70,2015,3232,146,1232.2161,1839.5713,118292.74
35,55,2015,3234,83,13496.074,897.4713,53984.297
36,54,2015,3234,82,13496.074,897.4713,53984.297
37,52,2015,3234,26,13496.074,897.4713,53984.297
38,56,2015,3234,84,13496.074,897.4713,53984.297
39,53,2015,3234,80,13496.074,897.4713,53984.297
40,239,2015,3238,250,1051.2882,1199.6212,91462.08
41,240,2015,3238,251,1051.2882,1199.6212,91462.08
42,205,2015,3242,474,1140.5175,203.3312,33075.008
43,202,2015,3242,471,1140.5175,203.3312,33075.008
44,201,2015,3243,460,6988.382,,6988.382
45,208,2015,3243,477,6988.382,,6988.382
46,207,2015,3243,476,6988.382,,6988.382
47,194,2015,3245,469,4638.0723,2206.2886,55656.867
48,192,2015,3245,405,4638.0723,2206.2886,55656.867
49,193,2015,3245,409,4638.0723,2206.2886,55656.867
50,15,2015,11703,62,113.13991,173.84703,61887.53
51,14,2015,11703,15,113.13991,173.84703,61887.53
52,91,2015,11712,364,342.65717,970.8785,31181.8
53,156,2015,12369,435,672.24304,559.7612,67224.305
54,161,2015,12369,501,672.24304,559.7612,67224.305
55,158,2015,12370,496,797.71436,481.2555,45469.72
56,160,2015,12370,500,797.71436,481.2555,45469.72
57,159,2015,12371,497,2199.9065,1133.3394,52797.758
58,157,2015,12371,495,2199.9065,1133.3394,52797.758
59,146,2015,13021,397,1232.7146,992.6098,124504.18
60,145,2015,13028,394,1232.7146,992.6098,124504.18
61,149,2015,13044,425,1232.7146,992.6098,124504.18
62,148,2015,13025,424,1227.2577,847.4486,100635.13
63,147,2015,13026,422,1227.2577,847.4486,100635.13
64,24,2015,13038,452,524.9039,231.62285,37793.08
65,26,2015,13046,44,331.0499,339.4878,67865.23
66,219,2015,13049,191,2844.5369,2111.418,62579.812
67,110,2015,13064,339,5410.8247,347.09122,21643.299
68,107,2015,13064,245,5410.8247,347.09122,21643.299
69,108,2015,13066,332,145.78236,139.23732,26678.172
70,216,2015,13071,226,1464.1631,1093.4731,98098.93
71,214,2015,13089,224,1897.8484,2054.3853,223946.11
72,211,2015,13202,221,1897.8484,2054.3853,223946.11
73,20,2015,13094,214,3726.6714,3063.6113,141613.52
74,17,2015,13094,141,3726.6714,3063.6113,141613.52
75,21,2015,13096,215,424.04373,177.44765,41132.242
76,212,2015,13101,222,1080.4857,1054.0721,60507.203
77,215,2015,14123,225,1080.4857,1054.0721,60507.203
78,18,2015,13102,142,2953.1985,3361.8833,253975.06
79,16,2015,13106,64,242.36462,186.6439,22539.91
80,213,2015,13110,223,1656.2384,2014.6788,122561.64
81,195,2015,13111,529,29.658176,25.228569,21235.254
82,155,2015,13115,151,1500.7817,1416.7695,22511.727
83,171,2015,13130,207,1229.8503,1250.5504,169719.34
84,172,2015,13130,208,1229.8503,1250.5504,169719.34
85,268,2015,13139,188,512.7304,280.98074,72807.72
86,266,2015,13144,183,577.8305,186.23917,25424.543
87,143,2015,13144,194,577.8305,186.23917,25424.543
88,174,2015,13153,210,542.2754,577.95337,63446.22
89,173,2015,13161,209,542.2754,577.95337,63446.22
90,11,2015,13171,526,3395.1526,1587.1323,30556.373
91,12,2015,13171,527,3395.1526,1587.1323,30556.373
92,10,2015,13174,524,7626.451,2820.2275,99143.87
93,228,2015,13175,180,1008.9894,954.66833,35314.63
94,227,2015,13175,176,1008.9894,954.66833,35314.63
95,224,2015,13178,437,468.27402,83.08265,36993.65
96,225,2015,13189,439,467.51025,236.37823,29920.656
97,265,2015,13212,54,1336.9702,1518.1572,78881.24
98,267,2015,13212,186,1336.9702,1518.1572,78881.24
99,19,2015,13216,212,369.0302,105.9347,33212.72
100,22,2015,13216,216,369.0302,105.9347,33212.72
101,23,2015,13222,403,520.2681,413.43216,24452.602
102,125,2015,13223,192,557.00073,308.98218,24508.033
103,142,2015,13226,49,1602.1924,1875.8868,104142.51
104,126,2015,14167,193,9279.02,1839.1296,296928.62
105,101,2015,21784,36,345.9972,368.28433,20413.834
106,247,2015,21842,521,882.27734,563.7656,33526.54
107,128,2015,21849,478,1211.5576,1402.827,118732.64
108,246,2015,21871,519,1051.5917,1097.2921,14722.283
109,129,2015,22037,480,1159.5264,1100.1958,103197.85
110,152,2015,22171,442,1469.1295,914.86615,60234.312
111,88,2015,22211,610,1925.9192,1785.7078,32740.627
112,27,2015,22288,404,1999.1143,1013.0801,133940.66
113,210,2015,22298,547,323.60803,337.44638,40451.004
114,100,2015,22307,35,730.8647,954.1492,97205.0
115,176,2015,22453,177,863.4749,591.9507,84620.54
116,198,2015,22549,166,549.4815,250.43213,167591.86
117,175,2015,22560,174,991.6607,1225.3181,104124.375
118,150,2015,22609,392,675.52515,647.1962,81063.016
119,151,2015,24399,441,675.52515,647.1962,81063.016
120,67,2015,22744,120,1838.5182,1673.7762,154435.53
121,64,2015,22744,115,1838.5182,1673.7762,154435.53
122,65,2015,24212,117,1838.5182,1673.7762,154435.53
123,104,2015,23280,389,5370.3926,4236.4043,21481.57
124,153,2015,23492,443,1177.5084,723.1417,87135.625
125,98,2015,23506,102,292.82224,69.94928,19911.912
126,244,2015,23510,446,1677.4825,1060.9271,25162.238
127,248,2015,23510,522,1677.4825,1060.9271,25162.238
128,68,2015,23534,128,939.7605,493.72034,29132.576
129,154,2015,23567,444,709.1362,552.1794,26947.178
130,197,2015,23576,165,1034.127,1031.3713,56876.98
131,249,2015,23589,391,502.17728,664.7532,53732.97
132,127,2015,23653,417,198.62393,120.88837,14499.547
133,250,2015,23666,396,3194.9492,1805.4697,124603.02
134,105,2015,23717,279,40589.805,,40589.805
135,63,2015,23728,106,10025.556,1041.2225,40102.223
136,97,2015,23753,101,506.71878,362.56378,57259.223
137,29,2015,23756,408,3396.0674,1376.536,37356.742
138,30,2015,23756,466,3396.0674,1376.536,37356.742
139,106,2015,23783,390,14581.4795,3053.3108,131233.31
140,102,2015,23824,247,1308.9515,1922.2981,70683.38
141,96,2015,23859,99,653.8588,520.4301,181772.75
142,254,2015,23863,401,1141.5933,588.75464,78769.94
143,255,2015,23863,402,1141.5933,588.75464,78769.94
144,251,2015,23863,398,1141.5933,588.75464,78769.94
145,253,2015,23863,400,1141.5933,588.75464,78769.94
146,262,2015,23865,386,117.68081,63.148884,32009.18
147,209,2015,23941,543,51.51,73.63309,32502.809
148,200,2015,23972,171,585.9403,284.13916,82031.64
149,199,2015,23972,167,585.9403,284.13916,82031.64
150,89,2015,24023,621,245.23492,202.06052,21090.203
151,66,2015,24063,119,9978.655,1739.2106,19957.31
152,168,2015,24110,266,857.03235,581.81256,99415.75
153,261,2015,24139,385,355.37704,213.76308,20967.246
154,99,2015,24308,103,81.17133,134.40877,93671.72
155,258,2015,24340,372,1627.3657,2027.0734,136698.72
156,257,2015,24340,256,1627.3657,2027.0734,136698.72
157,245,2015,24382,449,1192.9823,693.1888,81122.8
158,243,2015,24382,445,1192.9823,693.1888,81122.8
159,252,2015,24386,399,195.77597,116.63093,37784.76
160,217,2015,24412,204,226.13214,466.42477,66482.85
161,31,2015,24430,467,685.48413,140.19255,21935.492
162,260,2015,24553,259,82.67455,45.09583,23727.596
