index,id_distr_bank,year,newid,baseline_PSU,motor_mean,motor_sd,motor_sum
0,204,2015,3185,473,0.002363178,0.004644819,0.05907945
1,203,2015,3185,472,0.002363178,0.004644819,0.05907945
2,206,2015,3186,475,0.0011250001,0.00037749173,0.0045000003
3,141,2015,3189,582,0.007954078,0.007865952,4.080442
4,140,2015,3191,567,0.015261258,0.0081984885,18.344032
5,242,2015,3192,344,0.0022241382,0.0044840514,0.06450001
6,241,2015,3193,341,0.0022241382,0.0044840514,0.06450001
7,237,2015,3193,228,0.0022241382,0.0044840514,0.06450001
8,238,2015,3193,249,0.0022241382,0.0044840514,0.06450001
9,7,2015,3196,382,0.01246321,0.010931584,1.00952
10,5,2015,3196,380,0.01246321,0.010931584,1.00952
11,3,2015,3196,257,0.01246321,0.010931584,1.00952
12,6,2015,3204,381,0.011660143,0.010531439,2.1687865
13,8,2015,3204,383,0.011660143,0.010531439,2.1687865
14,2,2015,3204,253,0.011660143,0.010531439,2.1687865
15,4,2015,3204,378,0.011660143,0.010531439,2.1687865
16,58,2015,3209,312,0.0050624893,0.008296039,0.5720613
17,57,2015,3209,311,0.0050624893,0.008296039,0.5720613
18,62,2015,3211,316,0.0050624893,0.008296039,0.5720613
19,61,2015,3211,315,0.0050624893,0.008296039,0.5720613
20,59,2015,3211,313,0.0050624893,0.008296039,0.5720613
21,60,2015,3211,314,0.0050624893,0.008296039,0.5720613
22,71,2015,3210,507,0.002313681,0.005725445,0.0971746
23,112,2015,3219,159,0.0014522728,0.00033165453,0.0639
24,111,2015,3222,37,0.0014522728,0.00033165453,0.0639
25,114,2015,3220,161,0.0013890625,0.00049388874,0.0889
26,115,2015,3221,163,0.0012964284,0.000317274,0.14519998
27,116,2015,3221,164,0.0012964284,0.000317274,0.14519998
28,113,2015,3224,160,0.002968775,0.0051967427,0.16031386
29,220,2015,3232,17,0.003913294,0.006540178,0.37176293
30,221,2015,3232,56,0.003913294,0.006540178,0.37176293
31,69,2015,3232,145,0.003913294,0.006540178,0.37176293
32,223,2015,3232,121,0.003913294,0.006540178,0.37176293
33,222,2015,3232,57,0.003913294,0.006540178,0.37176293
34,70,2015,3232,146,0.003913294,0.006540178,0.37176293
35,55,2015,3234,83,0.0008625,0.00022500003,0.00345
36,54,2015,3234,82,0.0008625,0.00022500003,0.00345
37,52,2015,3234,26,0.0008625,0.00022500003,0.00345
38,56,2015,3234,84,0.0008625,0.00022500003,0.00345
39,53,2015,3234,80,0.0008625,0.00022500003,0.00345
40,239,2015,3238,250,0.0012709303,0.0003671404,0.1093
41,240,2015,3238,251,0.0012709303,0.0003671404,0.1093
42,205,2015,3242,474,0.0016499999,0.00092055084,0.049499996
43,202,2015,3242,471,0.0016499999,0.00092055084,0.049499996
47,194,2015,3245,469,0.00105,0.00048887625,0.01155
48,192,2015,3245,405,0.00105,0.00048887625,0.01155
49,193,2015,3245,409,0.00105,0.00048887625,0.01155
50,15,2015,11703,62,0.010361275,0.006837738,5.6883397
51,14,2015,11703,15,0.010361275,0.006837738,5.6883397
52,91,2015,11712,364,0.010977996,0.008749282,0.9770416
53,156,2015,12369,435,0.010271346,0.017238973,1.0476773
54,161,2015,12369,501,0.010271346,0.017238973,1.0476773
55,158,2015,12370,496,0.018806119,0.022052892,1.0719488
56,160,2015,12370,500,0.018806119,0.022052892,1.0719488
57,159,2015,12371,497,0.006284848,0.012231644,0.15083635
58,157,2015,12371,495,0.006284848,0.012231644,0.15083635
59,146,2015,13021,397,0.01680203,0.020054026,1.6634009
60,145,2015,13028,394,0.01680203,0.020054026,1.6634009
61,149,2015,13044,425,0.01680203,0.020054026,1.6634009
62,148,2015,13025,424,0.017311655,0.016072523,1.4714906
63,147,2015,13026,422,0.017311655,0.016072523,1.4714906
64,24,2015,13038,452,0.015786275,0.023177814,1.1366118
65,26,2015,13046,44,0.017283432,0.016963558,3.5603871
66,219,2015,13049,191,0.0011285715,0.00039165403,0.0237
67,110,2015,13064,339,0.00090000004,0.00034641018,0.0036000002
68,107,2015,13064,245,0.00090000004,0.00034641018,0.0036000002
69,108,2015,13066,332,0.016783126,0.008080356,3.0545287
70,216,2015,13071,226,0.010196796,0.011323078,0.68318534
71,214,2015,13089,224,0.0070795338,0.009931642,0.83538496
72,211,2015,13202,221,0.0070795338,0.009931642,0.83538496
73,20,2015,13094,214,0.002167105,0.0052321935,0.08234999
74,17,2015,13094,141,0.002167105,0.0052321935,0.08234999
75,21,2015,13096,215,0.015856856,0.011071679,1.5698287
76,212,2015,13101,222,0.0053771874,0.008511335,0.2957453
77,215,2015,14123,225,0.0053771874,0.008511335,0.2957453
78,18,2015,13102,142,0.002821765,0.005932179,0.23985001
79,16,2015,13106,64,0.010018096,0.0108515015,0.93168294
80,213,2015,13110,223,0.009055982,0.010968956,0.6791987
81,195,2015,13111,529,0.023394572,0.010460281,16.844091
82,155,2015,13115,151,0.0052923798,0.0069638267,0.084678076
83,171,2015,13130,207,0.0049490053,0.0073818695,0.6829627
84,172,2015,13130,208,0.0049490053,0.0073818695,0.6829627
85,268,2015,13139,188,0.0037051025,0.0063572624,0.5446501
86,266,2015,13144,183,0.010999932,0.011254903,0.49499694
87,143,2015,13144,194,0.010999932,0.011254903,0.49499694
88,174,2015,13153,210,0.012106077,0.010906779,1.3679867
89,173,2015,13161,209,0.012106077,0.010906779,1.3679867
90,11,2015,13171,526,0.0013050002,0.0005182503,0.013050001
91,12,2015,13171,527,0.0013050002,0.0005182503,0.013050001
92,10,2015,13174,524,0.0010333332,0.0003291403,0.012399999
93,228,2015,13175,180,0.0014470589,0.0005058658,0.049200002
94,227,2015,13175,176,0.0014470589,0.0005058658,0.049200002
95,224,2015,13178,437,0.027425013,0.03595801,2.3037012
96,225,2015,13189,439,0.029017692,0.0364311,1.9151677
97,265,2015,13212,54,0.004641129,0.0080551915,0.28775
98,267,2015,13212,186,0.004641129,0.0080551915,0.28775
99,19,2015,13216,212,0.0071755433,0.009776054,0.66015
100,22,2015,13216,216,0.0071755433,0.009776054,0.66015
101,23,2015,13222,403,0.022335555,0.023345342,1.0497711
102,125,2015,13223,192,0.007828637,0.010377136,0.32880276
103,142,2015,13226,49,0.0016853847,0.0028641608,0.10955
104,126,2015,14167,193,0.0009125001,0.0002794003,0.029200003
105,101,2015,21784,36,0.007627971,0.008919721,0.4500503
106,247,2015,21842,521,0.005264368,0.0089897625,0.19478162
107,128,2015,21849,478,0.01030259,0.014474711,1.0096538
108,246,2015,21871,519,0.002962472,0.006283901,0.04739955
109,129,2015,22037,480,0.00771551,0.012553481,0.66353387
110,152,2015,22171,442,0.010799509,0.020808127,0.45357937
111,88,2015,22211,610,0.00268125,0.0056897826,0.0429
112,27,2015,22288,404,0.001391912,0.00068538095,0.094650015
113,210,2015,22298,547,0.009924365,0.01154091,1.2206969
114,100,2015,22307,35,0.014925337,0.012720876,1.9701445
115,176,2015,22453,177,0.0019600259,0.0033084212,0.18620245
116,198,2015,22549,166,0.0085980985,0.010092052,2.62242
117,175,2015,22560,174,0.0023176707,0.0038303987,0.23872009
118,150,2015,22609,392,0.022037836,0.025151782,2.6004646
119,151,2015,24399,441,0.022037836,0.025151782,2.6004646
120,67,2015,22744,120,0.0014917649,0.000507377,0.12680002
121,64,2015,22744,115,0.0014917649,0.000507377,0.12680002
122,65,2015,24212,117,0.0014917649,0.000507377,0.12680002
123,104,2015,23280,389,0.001275,0.00014999998,0.0051
124,153,2015,23492,443,0.0095180655,0.012316482,0.6757827
125,98,2015,23506,102,0.013379414,0.01135412,0.9098001
126,244,2015,23510,446,0.0052872873,0.009155715,0.08988389
127,248,2015,23510,522,0.0052872873,0.009155715,0.08988389
128,68,2015,23534,128,0.003558251,0.006771757,0.113864034
129,154,2015,23567,444,0.017527966,0.020036329,0.6660627
130,197,2015,23576,165,0.0053747436,0.008655214,0.27948666
131,249,2015,23589,391,0.035581928,0.036302384,3.7361023
132,127,2015,23653,417,0.0060464814,0.008717901,0.43534666
133,250,2015,23666,396,0.0021852937,0.005093192,0.08085587
134,105,2015,23717,279,0.00075,,0.00075
135,63,2015,23728,106,0.0008166667,0.00023804764,0.0049
136,97,2015,23753,101,0.0035030153,0.006051429,0.39934373
137,29,2015,23756,408,0.0010181819,0.00035865916,0.0112000005
138,30,2015,23756,466,0.0010181819,0.00035865916,0.0112000005
139,106,2015,23783,390,0.00077222224,0.0002862594,0.0069500003
140,102,2015,23824,247,0.009855456,0.011225824,0.54205006
141,96,2015,23859,99,0.008387266,0.010283958,2.306498
142,254,2015,23863,401,0.02011774,0.0206597,1.4082417
143,255,2015,23863,402,0.02011774,0.0206597,1.4082417
144,251,2015,23863,398,0.02011774,0.0206597,1.4082417
145,253,2015,23863,400,0.02011774,0.0206597,1.4082417
146,262,2015,23865,386,0.013865433,0.009304267,3.840725
147,209,2015,23941,543,0.0213598,0.012034156,13.478033
148,200,2015,23972,171,0.0061154827,0.009265874,0.8500521
149,199,2015,23972,167,0.0061154827,0.009265874,0.8500521
150,89,2015,24023,621,0.017311148,0.009858607,1.5060699
151,66,2015,24063,119,0.000675,0.000106066,0.00135
152,168,2015,24110,266,0.0030600922,0.006088128,0.3580308
153,261,2015,24139,385,0.0064862063,0.009351545,0.37619996
154,99,2015,24308,103,0.013486627,0.005520688,15.509621
