index,id_distr_bank,year,newid,baseline_PSU,altitude_mean,altitude_sd,altitude_sum
0,204,2015,3185,473,326.87607,3.6143124,757045.0
1,203,2015,3185,472,326.87607,3.6143124,757045.0
2,206,2015,3186,475,357.2572,5.0829916,173627.0
3,141,2015,3189,582,0.0,0.0,0.0
4,140,2015,3191,567,130.5592,92.66048,15675461.0
5,242,2015,3192,344,62.824177,4.6707435,188661.0
6,241,2015,3193,341,62.824177,4.6707435,188661.0
7,237,2015,3193,228,62.824177,4.6707435,188661.0
8,238,2015,3193,249,62.824177,4.6707435,188661.0
9,7,2015,3196,382,9.493698,1.0520898,79092.0
10,5,2015,3196,380,9.493698,1.0520898,79092.0
11,3,2015,3196,257,9.493698,1.0520898,79092.0
12,6,2015,3204,381,8.81513,1.567567,161264.0
13,8,2015,3204,383,8.81513,1.567567,161264.0
14,2,2015,3204,253,8.81513,1.567567,161264.0
15,4,2015,3204,378,8.81513,1.567567,161264.0
16,58,2015,3209,312,67.54676,1.9925249,766318.0
17,57,2015,3209,311,67.54676,1.9925249,766318.0
18,62,2015,3211,316,67.54676,1.9925249,766318.0
19,61,2015,3211,315,67.54676,1.9925249,766318.0
20,59,2015,3211,313,67.54676,1.9925249,766318.0
21,60,2015,3211,314,67.54676,1.9925249,766318.0
22,71,2015,3210,507,602.8646,38.623405,2480788.0
23,112,2015,3219,159,201.95772,1.8137555,893259.0
24,111,2015,3222,37,201.95772,1.8137555,893259.0
25,114,2015,3220,161,202.34355,4.3366637,1292773.0
26,115,2015,3221,163,204.36911,2.6928353,2256848.0
27,116,2015,3221,164,204.36911,2.6928353,2256848.0
28,113,2015,3224,160,192.46094,1.5998821,1024662.0
29,220,2015,3232,17,182.1419,2.3765981,1687909.0
30,221,2015,3232,56,182.1419,2.3765981,1687909.0
31,69,2015,3232,145,182.1419,2.3765981,1687909.0
32,223,2015,3232,121,182.1419,2.3765981,1687909.0
33,222,2015,3232,57,182.1419,2.3765981,1687909.0
34,70,2015,3232,146,182.1419,2.3765981,1687909.0
35,55,2015,3234,83,187.47322,1.6832588,41994.0
36,54,2015,3234,82,187.47322,1.6832588,41994.0
37,52,2015,3234,26,187.47322,1.6832588,41994.0
38,56,2015,3234,84,187.47322,1.6832588,41994.0
39,53,2015,3234,80,187.47322,1.6832588,41994.0
40,239,2015,3238,250,65.61978,2.0752351,562624.0
41,240,2015,3238,251,65.61978,2.0752351,562624.0
42,205,2015,3242,474,318.73578,3.6379564,934852.0
43,202,2015,3242,471,318.73578,3.6379564,934852.0
44,201,2015,3243,460,347.63974,5.735365,55970.0
45,208,2015,3243,477,347.63974,5.735365,55970.0
46,207,2015,3243,476,347.63974,5.735365,55970.0
47,194,2015,3245,469,302.25378,12.997397,378724.0
48,192,2015,3245,405,302.25378,12.997397,378724.0
49,193,2015,3245,409,302.25378,12.997397,378724.0
50,15,2015,11703,62,162.66905,2.5605047,8909221.0
51,14,2015,11703,15,162.66905,2.5605047,8909221.0
52,91,2015,11712,364,41.87885,7.9700446,357771.0
53,156,2015,12369,435,1297.8895,229.32782,13084024.0
54,161,2015,12369,501,1297.8895,229.32782,13084024.0
55,158,2015,12370,496,1320.913,163.87404,7302007.0
56,160,2015,12370,500,1320.913,163.87404,7302007.0
57,159,2015,12371,497,1042.5029,74.28336,2676105.0
58,157,2015,12371,495,1042.5029,74.28336,2676105.0
59,146,2015,13021,397,987.4458,229.33492,9805337.0
60,145,2015,13028,394,987.4458,229.33492,9805337.0
61,149,2015,13044,425,987.4458,229.33492,9805337.0
62,148,2015,13025,424,820.8549,127.312355,6960029.0
