index,id_distr_bank,year,newid,baseline_PSU,nightlight_mean,nightlight_sd,nightlight_sum
0,204,2015,3185,473,0.6349018,0.14598754,43.808228
1,203,2015,3185,472,0.6349018,0.14598754,43.808228
2,206,2015,3186,475,9.440191,3.0056567,151.04306
3,141,2015,3189,582,3.1077595,5.1840773,3465.1519
4,140,2015,3191,567,0.58865553,0.6881251,241.34877
5,242,2015,3192,344,12.1911545,10.445824,1450.7474
6,241,2015,3193,341,12.1911545,10.445824,1450.7474
7,237,2015,3193,228,12.1911545,10.445824,1450.7474
8,238,2015,3193,249,12.1911545,10.445824,1450.7474
9,7,2015,3196,382,1.7678869,3.2626796,330.59485
10,5,2015,3196,380,1.7678869,3.2626796,330.59485
11,3,2015,3196,257,1.7678869,3.2626796,330.59485
12,6,2015,3204,381,2.1457958,3.4483888,534.30316
13,8,2015,3204,383,2.1457958,3.4483888,534.30316
14,2,2015,3204,253,2.1457958,3.4483888,534.30316
15,4,2015,3204,378,2.1457958,3.4483888,534.30316
16,58,2015,3209,312,2.1836846,3.5656803,744.6364
17,57,2015,3209,311,2.1836846,3.5656803,744.6364
18,62,2015,3211,316,2.1836846,3.5656803,744.6364
19,61,2015,3211,315,2.1836846,3.5656803,744.6364
20,59,2015,3211,313,2.1836846,3.5656803,744.6364
21,60,2015,3211,314,2.1836846,3.5656803,744.6364
22,71,2015,3210,507,1.8244021,2.673941,235.34787
23,112,2015,3219,159,1.4228477,1.1133238,229.07849
24,111,2015,3222,37,1.4228477,1.1133238,229.07849
25,114,2015,3220,161,3.6405847,3.2623222,942.91144
26,115,2015,3221,163,2.4911945,2.628797,1001.4602
27,116,2015,3221,164,2.4911945,2.628797,1001.4602
28,113,2015,3224,160,1.162618,0.895244,216.24695
29,220,2015,3232,17,2.1221645,2.4626331,405.3334
30,221,2015,3232,56,2.1221645,2.4626331,405.3334
31,69,2015,3232,145,2.1221645,2.4626331,405.3334
32,223,2015,3232,121,2.1221645,2.4626331,405.3334
33,222,2015,3232,57,2.1221645,2.4626331,405.3334
34,70,2015,3232,146,2.1221645,2.4626331,405.3334
35,55,2015,3234,83,13.500144,1.5193049,148.50159
36,54,2015,3234,82,13.500144,1.5193049,148.50159
