index,id_distr_bank,year,newid,baseline_PSU,nightlight_harm_mean,nightlight_harm_sd,nightlight_harm_sum
0,204,2015,3185,473,8.318182,0.4767313,183.0
1,203,2015,3185,472,8.318182,0.4767313,183.0
2,206,2015,3186,475,53.666668,2.081666,161.0
3,141,2015,3189,582,16.397638,14.010821,8330.0
4,140,2015,3191,567,2.847627,3.267404,3420.0
5,242,2015,3192,344,50.65625,11.232469,1621.0
6,241,2015,3193,341,50.65625,11.232469,1621.0
7,237,2015,3193,228,50.65625,11.232469,1621.0
8,238,2015,3193,249,50.65625,11.232469,1621.0
9,7,2015,3196,382,11.094118,4.6894603,943.0
10,5,2015,3196,380,11.094118,4.6894603,943.0
11,3,2015,3196,257,11.094118,4.6894603,943.0
12,6,2015,3204,381,10.202186,8.087271,1867.0
13,8,2015,3204,383,10.202186,8.087271,1867.0
14,2,2015,3204,253,10.202186,8.087271,1867.0
15,4,2015,3204,378,10.202186,8.087271,1867.0
16,58,2015,3209,312,18.237288,13.391335,2152.0
17,57,2015,3209,311,18.237288,13.391335,2152.0
18,62,2015,3211,316,18.237288,13.391335,2152.0
19,61,2015,3211,315,18.237288,13.391335,2152.0
20,59,2015,3211,313,18.237288,13.391335,2152.0
21,60,2015,3211,314,18.237288,13.391335,2152.0
22,71,2015,3210,507,13.9,7.7783394,556.0
23,112,2015,3219,159,12.409091,1.467765,546.0
24,111,2015,3222,37,12.409091,1.467765,546.0
25,114,2015,3220,161,27.63077,11.405274,1796.0
26,115,2015,3221,163,21.5,11.903857,2365.0
27,116,2015,3221,164,21.5,11.903857,2365.0
28,113,2015,3224,160,11.185185,1.5427747,604.0
29,220,2015,3232,17,12.215909,9.074974,1075.0
30,221,2015,3232,56,12.215909,9.074974,1075.0
31,69,2015,3232,145,12.215909,9.074974,1075.0
32,223,2015,3232,121,12.215909,9.074974,1075.0
33,222,2015,3232,57,12.215909,9.074974,1075.0
34,70,2015,3232,146,12.215909,9.074974,1075.0
35,55,2015,3234,83,58.0,0.0,116.0
36,54,2015,3234,82,58.0,0.0,116.0
37,52,2015,3234,26,58.0,0.0,116.0
38,56,2015,3234,84,58.0,0.0,116.0
